antecedents_str,consequents_str,support,confidence,lift,leverage
"12주평가성공여부=Y, 서비스상태=정상종결, 성별=남",6개월평가성공여부=Y,0.1373,0.9997087520023301,4.825780807116867,0.1088486456
6개월평가성공여부=Y,"12주평가성공여부=Y, 서비스상태=정상종결, 성별=남",0.1373,0.6627727360494304,4.825780807116867,0.1088486456
"서비스구분=보건소 금연클리닉, 서비스상태=정상종결, 성별=남",6개월평가성공여부=Y,0.1235,0.9996762182289137,4.825623760518023,0.0979074536
6개월평가성공여부=Y,"서비스구분=보건소 금연클리닉, 서비스상태=정상종결, 성별=남",0.1235,0.5961575593743965,4.825623760518023,0.0979074536
"서비스상태=정상종결, 성별=남","4주평가성공여부=Y, 6개월평가성공여부=Y",0.13734,0.9992724097788125,4.825538003567764,0.1088789248
"4주평가성공여부=Y, 6개월평가성공여부=Y","서비스상태=정상종결, 성별=남",0.13734,0.6632219432103534,4.825538003567764,0.1088789248
"등록유형=보건소, 서비스구분=보건소 금연클리닉, 서비스상태=정상종결",6개월평가성공여부=Y,0.11228,0.9996438746438746,4.825467631993988,0.0890117888
6개월평가성공여부=Y,"등록유형=보건소, 서비스구분=보건소 금연클리닉, 서비스상태=정상종결",0.11228,0.5419965244255648,4.825467631993988,0.0890117888
6개월평가성공여부=Y,"등록유형=보건소, 서비스상태=정상종결",0.11228,0.5419965244255648,4.825467631993988,0.0890117888
"등록유형=보건소, 서비스상태=정상종결",6개월평가성공여부=Y,0.11228,0.9996438746438746,4.825467631993988,0.0890117888
6개월평가성공여부=Y,"4주평가성공여부=Y, 등록유형=보건소, 서비스상태=정상종결",0.1122,0.5416103494883181,4.825466406702763,0.0889483616
"4주평가성공여부=Y, 등록유형=보건소, 서비스상태=정상종결",6개월평가성공여부=Y,0.1122,0.9996436208125444,4.825466406702763,0.0889483616
6개월평가성공여부=Y,"6주평가성공여부=Y, 등록유형=보건소, 서비스상태=정상종결",0.1122,0.5416103494883181,4.825466406702763,0.0889483616
"6주평가성공여부=Y, 등록유형=보건소, 서비스상태=정상종결",6개월평가성공여부=Y,0.1122,0.9996436208125444,4.825466406702763,0.0889483616
6개월평가성공여부=Y,"12주평가성공여부=Y, 등록유형=보건소, 서비스상태=정상종결",0.11216,0.5414172620196949,4.825465793401915,0.088916648
"12주평가성공여부=Y, 등록유형=보건소, 서비스상태=정상종결",6개월평가성공여부=Y,0.11216,0.9996434937611408,4.825465793401915,0.088916648
"6개월평가성공여부=Y, 6주평가성공여부=Y","서비스구분=보건소 금연클리닉, 서비스상태=정상종결",0.1416,0.6838597507968706,4.825428667773571,0.1122554568
"서비스구분=보건소 금연클리닉, 서비스상태=정상종결","6개월평가성공여부=Y, 6주평가성공여부=Y",0.1416,0.9991532599491956,4.825428667773571,0.1122554568
"4주평가성공여부=Y, 6개월평가성공여부=Y",서비스상태=정상종결,0.15734,0.7598029746957699,4.825371362223866,0.12473318320000001
서비스상태=정상종결,"4주평가성공여부=Y, 6개월평가성공여부=Y",0.15734,0.999237901689318,4.825371362223866,0.12473318320000001
서비스상태=정상종결,"4주평가성공여부=Y, 6개월평가성공여부=Y, 6주평가성공여부=Y",0.15732,0.9991108853042042,4.825224018662244,0.12471633239999999
"4주평가성공여부=Y, 6개월평가성공여부=Y, 6주평가성공여부=Y",서비스상태=정상종결,0.15732,0.7597797739785569,4.825224018662244,0.12471633239999999
서비스상태=정상종결,"6개월평가성공여부=Y, 6주평가성공여부=Y",0.15732,0.9991108853042042,4.825224018662244,0.12471633239999999
"6개월평가성공여부=Y, 6주평가성공여부=Y",서비스상태=정상종결,0.15732,0.7597797739785569,4.825224018662244,0.12471633239999999
6개월평가성공여부=Y,"등록유형=보건소, 서비스상태=정상종결, 성별=남",0.09762,0.4712299671751303,4.825209575825623,0.0773887544
"등록유형=보건소, 서비스상태=정상종결, 성별=남",6개월평가성공여부=Y,0.09762,0.9995904157280361,4.825209575825623,0.0773887544
"4주평가성공여부=Y, 6개월평가성공여부=Y","서비스구분=보건소 금연클리닉, 서비스상태=정상종결",0.1416,0.6837937029167472,4.8249626228954785,0.1122526224
"서비스구분=보건소 금연클리닉, 서비스상태=정상종결","4주평가성공여부=Y, 6개월평가성공여부=Y",0.1416,0.9991532599491956,4.8249626228954785,0.1122526224
"12주평가성공여부=Y, 6개월평가성공여부=Y","등록유형=보건소, 서비스상태=정상종결",0.11216,0.5418881051309306,4.824502360496177,0.0889120064
"등록유형=보건소, 서비스상태=정상종결","12주평가성공여부=Y, 6개월평가성공여부=Y",0.11216,0.9985754985754985,4.824502360496176,0.0889120064
"6개월평가성공여부=Y, 6주평가성공여부=Y","등록유형=보건소, 서비스상태=정상종결",0.1122,0.541871921182266,4.824358272634135,0.0889430208
"등록유형=보건소, 서비스상태=정상종결","6개월평가성공여부=Y, 6주평가성공여부=Y",0.1122,0.9989316239316238,4.824358272634134,0.0889430208
"4주평가성공여부=Y, 6개월평가성공여부=Y","등록유형=보건소, 서비스상태=정상종결",0.1122,0.5418195866331853,4.823892331135909,0.08894077439999999
"등록유형=보건소, 서비스상태=정상종결","4주평가성공여부=Y, 6개월평가성공여부=Y",0.1122,0.9989316239316238,4.823892331135908,0.08894077439999999
"6주평가성공여부=Y, 서비스상태=정상종결","6개월평가성공여부=Y, 성별=남",0.13734,0.8727758007117437,4.818238935142673,0.10883580959999999
"6개월평가성공여부=Y, 성별=남","6주평가성공여부=Y, 서비스상태=정상종결",0.13734,0.758198078834051,4.818238935142673,0.10883580959999999
"6개월평가성공여부=Y, 성별=남","12주평가성공여부=Y, 서비스상태=정상종결",0.1373,0.7579772551617534,4.818060355719257,0.10880305520000001
"12주평가성공여부=Y, 서비스상태=정상종결","6개월평가성공여부=Y, 성별=남",0.1373,0.8727434528349861,4.818060355719257,0.10880305520000001
"6개월평가성공여부=Y, 성별=남","4주평가성공여부=Y, 서비스상태=정상종결",0.13734,0.758198078834051,4.8176266287587435,0.1088321868
"4주평가성공여부=Y, 서비스상태=정상종결","6개월평가성공여부=Y, 성별=남",0.13734,0.8726648875333587,4.817626628758743,0.1088321868
"6개월평가성공여부=Y, 성별=남",서비스상태=정상종결,0.1374,0.7585293143424975,4.817282575527102,0.10887769559999999
서비스상태=정상종결,"6개월평가성공여부=Y, 성별=남",0.1374,0.8726025657309793,4.817282575527102,0.10887769559999999
"6개월평가성공여부=Y, 6주평가성공여부=Y, 성별=남",서비스상태=정상종결,0.13734,0.7584493041749503,4.816774445414393,0.10882714319999999
서비스상태=정상종결,"6개월평가성공여부=Y, 6주평가성공여부=Y, 성별=남",0.13734,0.8722215165756383,4.816774445414393,0.10882714319999999
"4주평가성공여부=Y, 6개월평가성공여부=Y, 성별=남",서비스상태=정상종결,0.13734,0.7584493041749503,4.816774445414393,0.10882714319999999
서비스상태=정상종결,"4주평가성공여부=Y, 6개월평가성공여부=Y, 성별=남",0.13734,0.8722215165756383,4.816774445414393,0.10882714319999999
서비스상태=정상종결,"12주평가성공여부=Y, 6개월평가성공여부=Y, 성별=남",0.1373,0.871967483805411,4.816435504890692,0.10879344160000001
"12주평가성공여부=Y, 6개월평가성공여부=Y, 성별=남",서비스상태=정상종결,0.1373,0.7583959346000884,4.816435504890692,0.10879344160000001
"서비스구분=보건소 금연클리닉, 서비스상태=정상종결","6개월평가성공여부=Y, 성별=남",0.1235,0.8714366356195313,4.810845951305793,0.09782883919999999
"6개월평가성공여부=Y, 성별=남","서비스구분=보건소 금연클리닉, 서비스상태=정상종결",0.1235,0.681793088219057,4.810845951305793,0.09782883919999999
"등록유형=보건소, 서비스상태=정상종결","6개월평가성공여부=Y, 성별=남",0.09762,0.8691239316239315,4.798078456574647,0.0772743552
"6개월평가성공여부=Y, 성별=남","등록유형=보건소, 서비스상태=정상종결",0.09762,0.5389201722424644,4.798078456574647,0.0772743552
"6개월평가성공여부=Y, 서비스구분=보건소 금연클리닉","6주평가성공여부=Y, 서비스상태=정상종결",0.1416,0.744088281660536,4.728573218483325,0.111654392
"6주평가성공여부=Y, 서비스상태=정상종결","6개월평가성공여부=Y, 서비스구분=보건소 금연클리닉",0.1416,0.8998474834773768,4.728573218483325,0.111654392
"12주평가성공여부=Y, 서비스상태=정상종결","6개월평가성공여부=Y, 서비스구분=보건소 금연클리닉",0.14156,0.8998220188151539,4.728439405229395,0.111622004
"6개월평가성공여부=Y, 서비스구분=보건소 금연클리닉","12주평가성공여부=Y, 서비스상태=정상종결",0.14156,0.7438780872306884,4.728439405229395,0.111622004
서비스상태=정상종결,"6개월평가성공여부=Y, 서비스구분=보건소 금연클리닉",0.14168,0.8997840721453068,4.7282400007635665,0.111715362
"6개월평가성공여부=Y, 서비스구분=보건소 금연클리닉",서비스상태=정상종결,0.14168,0.7445086705202312,4.7282400007635665,0.111715362
