cate1_a,col_nm_a,freq,mean_link,score
보건,2021년8월,9,0.5,4.5
보건,2020년4월,9,0.4811111111111111,4.33
교육,남,14,0.3085714285714286,4.32
공공행정,팝업창 순서,13,0.33,4.29
보건,채용신체검사 소요기간(일),11,0.3809090909090909,4.19
교육, 학교명 ,6,0.6966666666666667,4.18
교육,교원수 (명)_남,8,0.51875,4.15
교육, 3_교육외비용 ,8,0.515,4.12
교육,미국,8,0.515,4.12
교육,일본,8,0.515,4.12
보건,등록장애인수,13,0.3161538461538462,4.11
교육,총 운영학급수,8,0.51375,4.11
보건,구분,6,0.6783333333333333,4.07
교육,순번(개인정보보호를위한성명대체),6,0.6733333333333333,4.04
공공행정,설치년도,7,0.5757142857142857,4.03
교육,2021년 인원,6,0.67,4.0200000000000005
보건,2021년9월,8,0.5,4.0
교육,2023년 인원,7,0.5399999999999999,3.7799999999999994
보건,확진일자,7,0.5342857142857144,3.7400000000000007
교육, 4_기타교육외비용 ,7,0.5285714285714286,3.7
공공행정,통장 정원,7,0.5085714285714286,3.56
공공행정,통장 현원,7,0.5085714285714286,3.56
보건,컬럼명,8,0.43875,3.51
보건,2021년10월,7,0.5,3.5
교육,2021년,10,0.35,3.5
보건,5월,8,0.43375,3.47
보건,4월,7,0.4757142857142857,3.33
보건,2월,7,0.4757142857142857,3.33
보건,병실,9,0.35111111111111115,3.16
보건,천안시 동남구,6,0.5116666666666667,3.0700000000000003
보건,1년미만,6,0.51,3.06
교육,810 - 900,10,0.304,3.04
보건,상품권(가구),7,0.43285714285714283,3.03
공공행정,경북,5,0.6020000000000001,3.0100000000000007
공공행정,산업단지,3,1.0,3.0
보건,2021년11월,6,0.5,3.0
공공행정,사망자수(명),6,0.5,3.0
교육, 4_등록금수입 ,6,0.48166666666666663,2.8899999999999997
보건,컬럼아이디,6,0.47500000000000003,2.85
보건,표시형식,5,0.568,2.84
보건,2022년2월,6,0.4716666666666667,2.83
보건,2022년6월,6,0.4716666666666667,2.83
보건,빈소수,5,0.5519999999999999,2.76
교육,연간 장서 증가 및 폐기 책수-연간장서증가책수-합계,8,0.34249999999999997,2.7399999999999998
교육,101 - 200,9,0.30333333333333334,2.73
공공행정,식품운반업,7,0.3742857142857143,2.62
보건,입원(명),8,0.3225,2.58
보건,4인이상,5,0.506,2.5300000000000002
공공행정,대전,4,0.6275000000000001,2.5100000000000002
보건,2021년12월,5,0.5,2.5
교육,배정 사업수 ,5,0.5,2.5
교육,배정 학교수,5,0.5,2.5
공공행정,1종 소형,5,0.5,2.5
보건,확진자 수,8,0.31125,2.49
교육, 5_수업료 ,5,0.492,2.46
교육, 5_제세공과금 ,3,0.7966666666666665,2.3899999999999997
교육, 5_지급수수료 ,3,0.7966666666666665,2.3899999999999997
교육,2017년 인원,4,0.585,2.34
교육,코드,4,0.585,2.34
보건,2022년9월,5,0.466,2.33
보건,2022년7월,5,0.466,2.33
보건,9월,5,0.466,2.33
보건,데이터타입,4,0.5725,2.29
교육, 4_운영비 ,3,0.7533333333333333,2.26
공공행정,유연근무자합계,6,0.37333333333333335,2.24
교육, 4_일반관리비 ,3,0.7399999999999999,2.2199999999999998
교육, 4_기타교육외수입 ,5,0.438,2.19
보건,11월,5,0.43200000000000005,2.16
교육, 4_감가상각비 ,3,0.7200000000000001,2.16
교육, 5_잡수입 ,4,0.54,2.16
교육,법인명,4,0.515,2.06
보건,2021년 8월,3,0.67,2.0100000000000002
교육,2_미사용차기이월자금,2,1.0,2.0
교육,2_미사용전기이월자금,2,1.0,2.0
교육,학급수,4,0.5,2.0
보건,2022년1월,4,0.5,2.0
교육,교통안전,4,0.5,2.0
보건,임산부실 정원,2,1.0,2.0
보건,2022년10월,4,0.4575,1.83
교육,630 - 719,6,0.305,1.83
공공행정,근무시간선택형,5,0.366,1.83
보건,1월,4,0.4575,1.83
보건,오더총개수,5,0.36,1.7999999999999998
공공행정,호수,5,0.356,1.7799999999999998
교육,지원사유 소년소녀가정,3,0.57,1.71
보건,기준일,3,0.5633333333333334,1.69
교육, 3_교육외수입 ,3,0.5566666666666666,1.67
교육,2020년,5,0.33,1.6500000000000001
보건,빈소수(개소),3,0.5333333333333333,1.6
보건,월별,2,0.7849999999999999,1.5699999999999998
보건,10년이상,3,0.5166666666666667,1.5500000000000003
교육,보육교직원수,3,0.5133333333333333,1.54
교육,학습 요소 고유번호,3,0.5133333333333333,1.54
교육,활용수,3,0.5,1.5
보건,6월,3,0.5,1.5
보건,2022년5월,3,0.5,1.5
교육,0_기말의현금(2217),2,0.745,1.49
공공행정,진학,4,0.355,1.42
교육,시도,2,0.7050000000000001,1.4100000000000001
