학교명_norm,시도_norm,학교급_norm,설립,남여공학,도로명주소,ai_flag,지정연도,유형,sw_flag,지정연도_sw,키,몸무게,혈당식전(mgdl),총콜레스테롤(mgdl),수축기,이완기,cn_학급수,cn_학생수,학교명_stem_comp,컴퓨터실습실수,컴퓨터수,운영체제,개월수,수강학생수,학교명_stem_closed,폐교연도,활용 구분,토지면적(단위 제곱미터),건물면적(단위 제곱미터),ai_sw_both
양일초등학교,경기,초,공립,,경기도 고양시 일산동구 위시티로 151 (식사동),0,,,1,2020.0,,,,,,,,,,,,,,,,,,,,0
한산초등학교,경기,초,공립,,경기도 고양시 일산서구 하이파크1로 56 (덕이동. 한산초등학교),1,2023.0,교육활동 모델교,1,2018.0,,,,,,,,,,,,,,,,,,,,1
고양오금초등학교,경기,초,공립,,경기도 고양시 덕양구 오금1로 10 . 고양오금초등학교 (오금동),1,2023.0,교육활동 모델교,1,2018.0,,,,,,,,,,,,,,,,,,,,1
가람초등학교,경기,초,공립,,경기도 고양시 덕양구 행신로311번길 78 (행신동. 가람초등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
아람초등학교,경기,초,공립,,경기도 고양시 덕양구 서정마을로 36 (행신동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
강선초등학교,경기,초,공립,,경기도 고양시 일산서구 강선로 77 . 강선초등학교 (주엽동),0,,,1,2016.0,,,,,,,,,,,,,,,,,,,,0
고봉초등학교,경기,초,공립,,경기도 고양시 일산동구 중산로 280 고봉초등학교,0,,,0,,,,,,,,,,,,,,,,,,,,,0
고양관산초등학교,경기,초,공립,,경기도 고양시 덕양구 통일로726번길 130 . 고양관산초등학교 (관산동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
고양백석초등학교,경기,초,공립,,경기도 고양시 일산동구 강촌로 140 (백석동. 고양백석초등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
고양신일초등학교,경기,초,공립,,경기도 고양시 일산서구 강선로 183 . 고양신일초등학교 (일산동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
고양용현초등학교,경기,초,공립,,경기도 고양시 덕양구 화신로 21 (행신동.고양용현초등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
고양초등학교,경기,초,공립,,경기도 고양시 덕양구 혜음로13번길 22-7 . 고양초등학교 (고양동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
고양한내초등학교,경기,초,공립,,경기도 고양시 일산서구 고양대로255번길 27 (대화동. 고양한내초등학교),0,,,1,2020.0,,,,,,,,,,,,,,,,,,,,0
고양화수초등학교,경기,초,공립,,경기도 고양시 덕양구 화수로 25 . 고양화수초등학교 (화정동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
고양동산초등학교,경기,초,공립,,경기도 고양시 덕양구 동세로 32 (동산동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
고양화정초등학교,경기,초,공립,,경기도 고양시 덕양구 화신로 333 . 고양화정초등학교 (화정동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
금계초등학교,경기,초,공립,,경기도 고양시 일산동구 강촌로 90 . 금계초등학교 (백석동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
낙민초등학교,경기,초,공립,,경기도 고양시 일산동구 강석로 134 (마두동. 낙민초등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
내유초등학교,경기,초,공립,,경기도 고양시 덕양구 통일로 1132 . 내유초등학교 (내유동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
냉천초등학교,경기,초,공립,,경기도 고양시 일산동구 산두로 99 . 냉천초등학교 (마두동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
능곡초등학교,경기,초,공립,,경기도 고양시 덕양구 토당로67번길 66 (토당동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
