antecedents_str,consequents_str,support,confidence,lift,leverage,conviction
"cate2=보건의료, dom_sim_bucket=낮은유사(0-0.1), domain_spread=단독","cate1=보건, val_sim_bucket=낮은값유사",0.05447154471544716,0.9981378026070764,8.96138319128981,0.048393069601427724,477.18780487806356
"cate1=보건, col_type=범주형, dom_sim_bucket=낮은유사(0-0.1), domain_spread=단독","cate2=보건의료, val_sim_bucket=낮은값유사",0.050203252032520324,0.9979797979797979,8.959964609599645,0.04460018837993258,439.8658536585096
"cate2=보건의료, col_type=범주형, dom_sim_bucket=낮은유사(0-0.1), domain_spread=단독","cate1=보건, val_sim_bucket=낮은값유사",0.050203252032520324,0.9979797979797979,8.959964609599645,0.04460018837993258,439.8658536585096
"cate1=보건, col_type=범주형, dom_sim_bucket=낮은유사(0-0.1)","cate2=보건의료, val_sim_bucket=낮은값유사",0.07002032520325203,0.9971056439942113,8.952116365787445,0.062198674730649745,307.0174796747991
"cate2=보건의료, col_type=범주형, dom_sim_bucket=낮은유사(0-0.1)","cate1=보건, val_sim_bucket=낮은값유사",0.07002032520325203,0.9971056439942113,8.952116365787445,0.062198674730649745,307.0174796747991
"cate1=보건, val_sim_bucket=낮은값유사","cate2=보건의료, col_type=범주형, dom_sim_bucket=낮은유사(0-0.1)",0.07002032520325203,0.6286496350364963,8.952116365787443,0.062198674730649745,2.50377139889335
"cate2=보건의료, val_sim_bucket=낮은값유사","cate1=보건, col_type=범주형, dom_sim_bucket=낮은유사(0-0.1)",0.07002032520325203,0.6286496350364963,8.952116365787443,0.062198674730649745,2.50377139889335
"cate2=보건의료, dom_sim_bucket=낮은유사(0-0.1), pk_bucket=최고PK(0.9+)","cate1=보건, val_sim_bucket=낮은값유사",0.053455284552845525,0.994328922495274,8.927186676417424,0.04746736400290832,156.69295392953782
"cate1=보건, dom_sim_bucket=낮은유사(0-0.1), pk_bucket=최고PK(0.9+)","cate2=보건의료, val_sim_bucket=낮은값유사",0.053455284552845525,0.994328922495274,8.927186676417424,0.04746736400290832,156.69295392953782
"cate1=보건, dom_sim_bucket=낮은유사(0-0.1), rec_bucket=소(≤100)","cate2=보건의료, val_sim_bucket=낮은값유사",0.05050813008130081,0.9841584158415841,8.835874828358747,0.044791873223610286,56.0940040650406
"cate2=보건의료, dom_sim_bucket=낮은유사(0-0.1), rec_bucket=소(≤100)","cate1=보건, val_sim_bucket=낮은값유사",0.05050813008130081,0.9841584158415841,8.835874828358747,0.044791873223610286,56.0940040650406
"cate1=보건, val_sim_bucket=낮은값유사","cate2=보건의료, dom_sim_bucket=낮은유사(0-0.1)",0.08495934959349594,0.7627737226277372,8.778588807785889,0.07528133055720801,3.849108818011257
"cate2=보건의료, val_sim_bucket=낮은값유사","cate1=보건, dom_sim_bucket=낮은유사(0-0.1)",0.08495934959349594,0.7627737226277372,8.778588807785889,0.07528133055720801,3.849108818011257
"cate2=보건의료, dom_sim_bucket=낮은유사(0-0.1)","cate1=보건, val_sim_bucket=낮은값유사",0.08495934959349594,0.9777777777777779,8.778588807785889,0.07528133055720801,39.98780487804893
"cate1=보건, dom_sim_bucket=낮은유사(0-0.1)","cate2=보건의료, val_sim_bucket=낮은값유사",0.08495934959349594,0.9777777777777779,8.778588807785889,0.07528133055720801,39.98780487804893
"cate2=보건의료, col_type=수치형","cate1=보건, domain_spread=대공유(21+), rec_bucket=소(≤100)",0.05752032520325203,0.6535796766743649,8.702603543268944,0.0509107715314958,2.6698733062330624
"cate2=보건의료, domain_spread=대공유(21+), rec_bucket=소(≤100)","cate1=보건, col_type=수치형",0.05752032520325203,0.7658998646820027,8.702603543268944,0.0509107715314958,3.8957340570515524
"cate1=보건, col_type=수치형","cate2=보건의료, domain_spread=대공유(21+), rec_bucket=소(≤100)",0.05752032520325203,0.6535796766743649,8.702603543268944,0.0509107715314958,2.6698733062330624
"cate1=보건, domain_spread=대공유(21+), rec_bucket=소(≤100)","cate2=보건의료, col_type=수치형",0.05752032520325203,0.7658998646820027,8.702603543268944,0.0509107715314958,3.8957340570515524
"cate1=공공행정, domain_spread=단독, val_sim_bucket=낮은값유사","cate2=일반행정, dom_sim_bucket=낮은유사(0-0.1)",0.05060975609756098,0.946768060836502,8.650137157503417,0.04475901001388063,16.729594947735222
"cate2=일반행정, domain_spread=단독, val_sim_bucket=낮은값유사","cate1=공공행정, dom_sim_bucket=낮은유사(0-0.1)",0.05060975609756098,0.946768060836502,8.650137157503417,0.04475901001388063,16.729594947735222
"cate1=공공행정, domain_spread=단독","cate2=일반행정, dom_sim_bucket=낮은유사(0-0.1), val_sim_bucket=낮은값유사",0.05060975609756098,0.8956834532374102,8.458277523854237,0.044626297177605925,8.571082141855909
"cate2=일반행정, domain_spread=단독","cate1=공공행정, dom_sim_bucket=낮은유사(0-0.1), val_sim_bucket=낮은값유사",0.05060975609756098,0.8956834532374102,8.458277523854237,0.044626297177605925,8.571082141855909
"cate1=공공행정, domain_spread=단독","cate2=일반행정, dom_sim_bucket=낮은유사(0-0.1)",0.05060975609756098,0.8956834532374102,8.183403138213665,0.0444253172714654,8.53698486122793
"cate2=일반행정, domain_spread=단독","cate1=공공행정, dom_sim_bucket=낮은유사(0-0.1)",0.05060975609756098,0.8956834532374102,8.183403138213665,0.0444253172714654,8.53698486122793
"cate2=보건의료, domain_spread=대공유(21+)","cate1=보건, col_type=수치형",0.07926829268292683,0.7182320441988951,8.160973804754189,0.06955520027761253,3.236677028534992
"cate1=보건, domain_spread=대공유(21+)","cate2=보건의료, col_type=수치형",0.07926829268292683,0.7182320441988951,8.160973804754189,0.06955520027761253,3.236677028534992
"cate2=보건의료, col_type=수치형","cate1=보건, domain_spread=대공유(21+)",0.07926829268292683,0.9006928406466512,8.160973804754187,0.06955520027761253,8.958408961996593
"cate1=보건, col_type=수치형","cate2=보건의료, domain_spread=대공유(21+)",0.07926829268292683,0.9006928406466512,8.160973804754187,0.06955520027761253,8.958408961996593
"cate2=보건의료, col_type=수치형, rec_bucket=소(≤100)","cate1=보건, domain_spread=대공유(21+)",0.05752032520325203,0.8913385826771654,8.07621699221299,0.05039813850882411,8.187212796041004
"cate1=보건, col_type=수치형, rec_bucket=소(≤100)","cate2=보건의료, domain_spread=대공유(21+)",0.05752032520325203,0.8913385826771654,8.07621699221299,0.05039813850882411,8.187212796041004
"cate1=보건, domain_spread=단독","cate2=보건의료, val_sim_bucket=낮은값유사",0.056402439024390245,0.893719806763285,8.02390775415212,0.04937314098750744,8.361086474501107
"cate2=보건의료, domain_spread=단독","cate1=보건, val_sim_bucket=낮은값유사",0.056402439024390245,0.893719806763285,8.02390775415212,0.04937314098750744,8.361086474501107
"cate1=교육, col_cnt_bucket=초풍부(21+), domain_spread=대공유(21+), val_sim_bucket=높은값유사","cate2=고등교육, col_type=수치형, pk_bucket=저PK(0-0.3), rec_bucket=중(101-1k)",0.08485772357723577,0.8817317845828934,8.01130264108557,0.07426547318064644,7.524752286585366
"cate2=고등교육, col_type=수치형, pk_bucket=저PK(0-0.3), rec_bucket=중(101-1k)","cate1=교육, col_cnt_bucket=초풍부(21+), domain_spread=대공유(21+), val_sim_bucket=높은값유사",0.08485772357723577,0.7710064635272391,8.011302641085567,0.07426547318064644,3.946662322974036
"cate2=보건의료, col_type=범주형, domain_spread=단독","cate1=보건, val_sim_bucket=낮은값유사",0.05203252032520325,0.8888888888888888,7.980535279805352,0.04551259171128297,7.997560975609753
"cate1=보건, col_type=범주형, domain_spread=단독","cate2=보건의료, val_sim_bucket=낮은값유사",0.05203252032520325,0.8888888888888888,7.980535279805352,0.04551259171128297,7.997560975609753
"cate2=고등교육, col_cnt_bucket=초풍부(21+), col_type=수치형, pk_bucket=저PK(0-0.3)","cate1=교육, domain_spread=대공유(21+), rec_bucket=중(101-1k), val_sim_bucket=높은값유사",0.08485772357723577,0.7884796978281398,7.8688034752828555,0.07407365407495538,4.253949804006969
"cate1=교육, domain_spread=대공유(21+), rec_bucket=중(101-1k), val_sim_bucket=높은값유사","cate2=고등교육, col_cnt_bucket=초풍부(21+), col_type=수치형, pk_bucket=저PK(0-0.3)",0.08485772357723577,0.8468559837728195,7.8688034752828555,0.07407365407495538,5.827051364884508
"cate2=고등교육, col_type=수치형, domain_spread=대공유(21+), pk_bucket=저PK(0-0.3), rec_bucket=중(101-1k)","cate1=교육, col_cnt_bucket=초풍부(21+), val_sim_bucket=높은값유사",0.08485772357723577,0.7731481481481481,7.84306987399771,0.07403827087051358,3.973618715778994
"cate1=교육, col_cnt_bucket=초풍부(21+), val_sim_bucket=높은값유사","cate2=고등교육, col_type=수치형, domain_spread=대공유(21+), pk_bucket=저PK(0-0.3), rec_bucket=중(101-1k)",0.08485772357723577,0.8608247422680413,7.84306987399771,0.07403827087051358,6.396567299006326
"cate2=고등교육, col_type=수치형, pk_bucket=저PK(0-0.3), rec_bucket=중(101-1k)","cate1=교육, col_cnt_bucket=초풍부(21+), val_sim_bucket=높은값유사",0.08485772357723577,0.7710064635272391,7.8213439186680755,0.07400821683521713,3.9364550550747435
"cate1=교육, col_cnt_bucket=초풍부(21+), val_sim_bucket=높은값유사","cate2=고등교육, col_type=수치형, pk_bucket=저PK(0-0.3), rec_bucket=중(101-1k)",0.08485772357723577,0.8608247422680413,7.8213439186680755,0.07400821683521713,6.394376693766939
"cate1=공공행정, domain_spread=대공유(21+), rec_bucket=소(≤100)","cate2=일반행정, col_type=수치형",0.05914634146341463,0.8350071736011477,7.766040253530524,0.05153031842818428,5.409202898550723
"cate2=일반행정, domain_spread=대공유(21+), rec_bucket=소(≤100)","cate1=공공행정, col_type=수치형",0.05914634146341463,0.8350071736011477,7.766040253530524,0.05153031842818428,5.409202898550723
"cate2=고등교육, domain_spread=대공유(21+), val_sim_bucket=높은값유사","cate1=교육, col_cnt_bucket=초풍부(21+), col_type=수치형, pk_bucket=저PK(0-0.3), rec_bucket=중(101-1k)",0.08485772357723577,0.8194308145240431,7.760538224173805,0.07392320832507106,4.953284619123362
"cate1=교육, col_cnt_bucket=초풍부(21+), col_type=수치형, pk_bucket=저PK(0-0.3), rec_bucket=중(101-1k)","cate2=고등교육, domain_spread=대공유(21+), val_sim_bucket=높은값유사",0.08485772357723577,0.8036573628488931,7.760538224173805,0.07392320832507106,4.5657076956798965
"cate1=교육, col_cnt_bucket=초풍부(21+), col_type=수치형, val_sim_bucket=높은값유사","cate2=고등교육, domain_spread=대공유(21+), pk_bucket=저PK(0-0.3), rec_bucket=중(101-1k)",0.08485772357723577,0.898815931108719,7.744613627066371,0.07390072460175821,8.735990745545752
