col_id,col_nm,table_id,cate1,cate2,num_cat_flag,pk_ratio,distinct_cnt,null_ratio,same_ratio,rec_cnt,column_cnt,categorical_cnt,numerical_cnt,avg_dom_col,avg_val_col,num_dom_eqn_col,num_dom_inter_col,num_val_eqn_col,num_val_inter_col,inner_tbl_cnt,outer_tbl_cnt,rep_ratio_tbl,common_ratio_tbl,col_table_cnt,inner_col_cnt,pk_bucket,null_bucket,col_type,rec_bucket,col_cnt_bucket,domain_spread,dom_sim_bucket,val_sim_bucket
462,환산점수,49,공공행정,일반행정,0,0.0,6,0.0,4450.0,26700,9,3,6,0.2736552171095269,0.0135997897961313,0.0,2704.0,0.0,2765.0,767.0,,,,528.0,3086.0,저PK(0-0.3),완전(0%),수치형,초대(10k+),표준(6-10),대공유(21+),중유사(0.1-0.3),낮은값유사
8518,법정동코드,814,보건,보건의료,0,0.2,2,0.0,5.0,10,5,3,2,1.0,0.2,0.0,0.0,0.0,1.0,66.0,,,,1.0,1.0,저PK(0-0.3),완전(0%),수치형,소(≤100),협소(≤5),단독,최고유사(0.6+),중값유사
8519,법조키,814,보건,보건의료,1,0.7,7,0.0,1.43,10,5,3,2,0.8571428571428571,0.7,0.0,0.0,0.0,0.0,66.0,,,,1.0,1.0,중PK(0.3-0.7),완전(0%),범주형,소(≤100),협소(≤5),단독,최고유사(0.6+),최고값유사
8520,시스템구분,814,보건,보건의료,1,0.3,3,0.0,3.33,10,5,3,2,1.0,0.6,1.0,0.0,0.0,1.0,66.0,,,,1.0,1.0,저PK(0-0.3),완전(0%),범주형,소(≤100),협소(≤5),단독,최고유사(0.6+),높은값유사
8521,위반내용,814,보건,보건의료,1,0.8,8,0.0,1.25,10,5,3,2,0.5,0.5,0.0,1.0,0.0,1.0,66.0,,,,1.0,1.0,고PK(0.7-0.9),완전(0%),범주형,소(≤100),협소(≤5),단독,높은유사(0.3-0.6),높은값유사
8528,사업장전화번호,815,보건,보건의료,1,0.71,5,0.0,1.4,7,7,4,2,,,,,,,595.0,,,,,,고PK(0.7-0.9),완전(0%),범주형,소(≤100),표준(6-10),단독,낮은유사(0-0.1),낮은값유사
8529,연번,816,보건,보건의료,0,1.0,93,0.0,1.0,93,8,7,1,0.1782140107775211,0.1782140107775211,1.0,1859.0,1.0,2191.0,670.0,,,,668.0,2598.0,최고PK(0.9+),완전(0%),수치형,소(≤100),표준(6-10),대공유(21+),중유사(0.1-0.3),중값유사
8530,분류,816,보건,보건의료,1,0.04,4,0.0,23.25,93,8,7,1,,,,,,,670.0,,,,,,저PK(0-0.3),완전(0%),범주형,소(≤100),표준(6-10),단독,낮은유사(0-0.1),낮은값유사
8531,감염병명,816,보건,보건의료,1,1.0,93,0.0,1.0,93,8,7,1,0.0349462365591397,0.0349462365591397,0.0,12.0,0.0,12.0,670.0,,,,12.0,12.0,최고PK(0.9+),완전(0%),범주형,소(≤100),표준(6-10),중공유(6-20),낮은유사(0-0.1),낮은값유사
8532,신고범위,816,보건,보건의료,1,0.04,4,0.0,23.25,93,8,7,1,0.25,0.010752688172043,0.0,2.0,0.0,2.0,670.0,,,,1.0,2.0,저PK(0-0.3),완전(0%),범주형,소(≤100),표준(6-10),단독,중유사(0.1-0.3),낮은값유사
8533,신고시기,816,보건,보건의료,1,0.03,3,0.0,31.0,93,8,7,1,0.3333333333333333,0.2150537634408602,0.0,3.0,0.0,3.0,670.0,,,,2.0,3.0,저PK(0-0.3),완전(0%),범주형,소(≤100),표준(6-10),소공유(2-5),높은유사(0.3-0.6),중값유사
8534,신고대상,816,보건,보건의료,1,0.02,2,0.0,46.5,93,8,7,1,,,,,,,670.0,,,,,,저PK(0-0.3),완전(0%),범주형,소(≤100),표준(6-10),단독,낮은유사(0-0.1),낮은값유사
