support,itemsets_str
0.17083333333333334,"dom_sim_bucket=낮은유사(0-0.1), domain_spread=단독"
0.170630081300813,"dom_sim_bucket=낮은유사(0-0.1), domain_spread=단독, val_sim_bucket=낮은값유사"
0.16951219512195123,"domain_spread=대공유(21+), pk_bucket=저PK(0-0.3), rec_bucket=중(101-1k)"
0.16910569105691056,"col_type=수치형, domain_spread=대공유(21+), val_sim_bucket=높은값유사"
0.1679878048780488,"cate1=교육, pk_bucket=저PK(0-0.3), rec_bucket=중(101-1k)"
0.16747967479674797,"col_cnt_bucket=표준(6-10), val_sim_bucket=낮은값유사"
0.16707317073170733,"cate1=교육, dom_sim_bucket=낮은유사(0-0.1), val_sim_bucket=낮은값유사"
0.16666666666666666,"col_type=범주형, domain_spread=단독, val_sim_bucket=낮은값유사"
0.1665650406504065,"cate1=교육, dom_sim_bucket=낮은유사(0-0.1), rec_bucket=중(101-1k)"
0.16514227642276422,"col_type=수치형, domain_spread=대공유(21+), rec_bucket=소(≤100)"
0.16219512195121952,"dom_sim_bucket=낮은유사(0-0.1), pk_bucket=최고PK(0.9+)"
0.16199186991869918,"pk_bucket=최고PK(0.9+), val_sim_bucket=낮은값유사"
0.16178861788617885,"dom_sim_bucket=낮은유사(0-0.1), pk_bucket=최고PK(0.9+), val_sim_bucket=낮은값유사"
0.1613821138211382,"col_cnt_bucket=표준(6-10), rec_bucket=소(≤100)"
0.1613821138211382,"cate1=교육, col_type=수치형, pk_bucket=저PK(0-0.3)"
0.16097560975609757,"cate1=교육, cate2=고등교육, pk_bucket=저PK(0-0.3)"
0.16097560975609757,"cate2=고등교육, pk_bucket=저PK(0-0.3)"
0.1600609756097561,"dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+), rec_bucket=중(101-1k)"
0.15934959349593497,dom_sim_bucket=높은유사(0.3-0.6)
0.15863821138211381,"col_type=범주형, dom_sim_bucket=낮은유사(0-0.1), domain_spread=단독"
0.15853658536585366,"col_type=범주형, pk_bucket=저PK(0-0.3), val_sim_bucket=낮은값유사"
0.1584349593495935,"col_type=범주형, dom_sim_bucket=낮은유사(0-0.1), domain_spread=단독, val_sim_bucket=낮은값유사"
0.15813008130081302,"cate1=교육, col_type=수치형, domain_spread=대공유(21+), pk_bucket=저PK(0-0.3)"
0.15782520325203253,"col_cnt_bucket=초풍부(21+), dom_sim_bucket=낮은유사(0-0.1)"
0.15782520325203253,col_cnt_bucket=협소(≤5)
0.1551829268292683,pk_bucket=중PK(0.3-0.7)
0.15467479674796747,"cate1=보건, rec_bucket=소(≤100)"
0.15467479674796747,"cate1=보건, cate2=보건의료, rec_bucket=소(≤100)"
0.15467479674796747,"cate2=보건의료, rec_bucket=소(≤100)"
0.15457317073170732,"col_type=수치형, val_sim_bucket=중값유사"
0.1535569105691057,"col_cnt_bucket=초풍부(21+), domain_spread=대공유(21+), pk_bucket=저PK(0-0.3)"
0.15284552845528454,"dom_sim_bucket=최고유사(0.6+), pk_bucket=저PK(0-0.3)"
0.15203252032520326,"col_type=범주형, rec_bucket=중(101-1k)"
0.15193089430894308,"cate1=교육, col_type=수치형, dom_sim_bucket=낮은유사(0-0.1)"
0.15,"rec_bucket=소(≤100), val_sim_bucket=낮은값유사"
0.14989837398373984,"cate1=교육, col_type=범주형, val_sim_bucket=낮은값유사"
0.14898373983739838,"dom_sim_bucket=중유사(0.1-0.3), domain_spread=대공유(21+)"
0.14857723577235774,"col_type=수치형, domain_spread=대공유(21+), val_sim_bucket=중값유사"
0.1483739837398374,"col_type=범주형, domain_spread=대공유(21+)"
0.1475609756097561,"cate1=교육, cate2=고등교육, dom_sim_bucket=낮은유사(0-0.1)"
0.1475609756097561,"cate2=고등교육, dom_sim_bucket=낮은유사(0-0.1)"
0.14745934959349594,"col_type=범주형, pk_bucket=최고PK(0.9+)"
0.1470528455284553,"dom_sim_bucket=낮은유사(0-0.1), pk_bucket=저PK(0-0.3)"
0.1467479674796748,"col_cnt_bucket=표준(6-10), domain_spread=대공유(21+)"
0.14634146341463414,"col_type=수치형, dom_sim_bucket=낮은유사(0-0.1), rec_bucket=중(101-1k)"
0.1459349593495935,"cate1=교육, col_type=수치형, dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+)"
0.14491869918699188,"col_type=수치형, val_sim_bucket=낮은값유사"
0.14288617886178862,"cate1=교육, col_cnt_bucket=초풍부(21+), dom_sim_bucket=낮은유사(0-0.1)"
0.14278455284552846,"col_type=수치형, pk_bucket=저PK(0-0.3), rec_bucket=중(101-1k)"
0.14258130081300813,"cate2=고등교육, domain_spread=대공유(21+), pk_bucket=저PK(0-0.3)"
0.14258130081300813,"cate1=교육, cate2=고등교육, domain_spread=대공유(21+), pk_bucket=저PK(0-0.3)"
0.14146341463414633,"domain_spread=대공유(21+), pk_bucket=최고PK(0.9+)"
0.14146341463414633,"cate1=교육, rec_bucket=소(≤100)"
0.14136178861788617,"cate1=교육, val_sim_bucket=높은값유사"
0.14095528455284553,"cate1=공공행정, cate2=일반행정, val_sim_bucket=낮은값유사"
0.14095528455284553,"cate1=공공행정, val_sim_bucket=낮은값유사"
0.14095528455284553,"cate2=일반행정, val_sim_bucket=낮은값유사"
0.1405487804878049,"cate1=교육, col_cnt_bucket=초풍부(21+), pk_bucket=저PK(0-0.3)"
0.14034552845528456,"col_type=수치형, dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+), rec_bucket=중(101-1k)"
0.1402439024390244,"col_type=수치형, domain_spread=대공유(21+), pk_bucket=저PK(0-0.3), rec_bucket=중(101-1k)"
0.13882113821138212,"cate1=교육, domain_spread=대공유(21+), pk_bucket=저PK(0-0.3), rec_bucket=중(101-1k)"
0.13739837398373983,"cate2=일반행정, col_type=범주형"
0.13739837398373983,"cate1=공공행정, domain_spread=대공유(21+)"
0.13739837398373983,"cate1=공공행정, col_type=범주형"
0.13739837398373983,"cate1=공공행정, cate2=일반행정, col_type=범주형"
